outcome,term,estimate,std.error,p.value,sig
Verbal Fluency,(Intercept),18.325,0.389,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones),0.053,0.281,0.8498,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones),-0.294,0.406,0.4692,
Verbal Fluency,wave_factorWave 8,-0.017,0.195,0.929,
Verbal Fluency,wave_factorWave 9,-0.13,0.203,0.5235,
Verbal Fluency,wave_factorWave 10,-1.033,0.232,0,***
Verbal Fluency,wave_factorWave 11,-1.572,0.241,0,***
Verbal Fluency,age_c,-0.258,0.012,0,***
Verbal Fluency,sex_factorFemale,0.412,0.217,0.0578,.
Verbal Fluency,education_3catIntermediate (A/O level),1.92,0.279,0,***
Verbal Fluency,education_3catHigher (degree/equiv),2.943,0.279,0,***
Verbal Fluency,wealth_quintileQ2,0.424,0.362,0.2417,
Verbal Fluency,wealth_quintileQ3,1.653,0.364,0,***
Verbal Fluency,wealth_quintileQ4,2.087,0.366,0,***
Verbal Fluency,wealth_quintileQ5 (Highest),2.448,0.377,0,***
Verbal Fluency,cesd_total,-0.45,0.059,0,***
Verbal Fluency,has_diabetes,-0.286,0.709,0.6863,
Verbal Fluency,has_cvd,-0.183,0.501,0.7145,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 8,-0.027,0.29,0.92490000000000006,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 8,-0.229,0.42,0.586,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 9,-0.556,0.303,0.0666,.
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 9,-0.134,0.446,0.7634,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 10,-0.702,0.349,0.0446,*
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 10,0.467,0.563,0.4071,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 11,-0.06,0.366,0.8709,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 11,-0.995,0.598,0.0964,.
Delayed Recall,(Intercept),3.401,0.111,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones),-0.133,0.08,0.0977,.
Delayed Recall,hearing_acuityModerate-severe (0-2 tones),-0.206,0.116,0.0757,.
Delayed Recall,wave_factorWave 8,-0.19,0.055,6e-4,***
Delayed Recall,wave_factorWave 9,-0.388,0.058,0,***
Delayed Recall,wave_factorWave 10,-0.712,0.066,0,***
Delayed Recall,wave_factorWave 11,-0.726,0.069,0,***
Delayed Recall,age_c,-0.088,0.004,0,***
Delayed Recall,sex_factorFemale,0.552,0.062,0,***
Delayed Recall,education_3catIntermediate (A/O level),0.623,0.08,0,***
Delayed Recall,education_3catHigher (degree/equiv),0.895,0.08,0,***
Delayed Recall,wealth_quintileQ2,0.308,0.104,0.0031,**
Delayed Recall,wealth_quintileQ3,0.529,0.104,0,***
Delayed Recall,wealth_quintileQ4,0.699,0.105,0,***
Delayed Recall,wealth_quintileQ5 (Highest),0.878,0.108,0,***
Delayed Recall,cesd_total,-0.112,0.017,0,***
Delayed Recall,has_diabetes,0.016,0.203,0.9364,
Delayed Recall,has_cvd,-0.154,0.144,0.2832,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 8,-0.018,0.082,0.8238,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 8,-0.036,0.119,0.764,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 9,-0.032,0.086,0.71,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):wave_factorWave 9,-0.025,0.126,0.8403,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):wave_factorWave 10,-0.05,0.1,0.6177,
